Ticker,Cusip,Description,Quantity,Statement Market Value,Statement Date,Date Acquired,Cost Basis,FMV High,FMV Low,FMV Avg,FMV Value,FMV Valuation Method,Dividends Accrued,FMV Valuation Date,Valuation Date Used
META,,META PLATFORMS INC,26438.24,,2024-12-31,,,360,340.01,351.2475,9286365.7,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
AMZN,,AMAZON.COM INC,15357.3,,2024-12-31,,,153.89,148.39,151.42249999999999,2325440.76,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
NVDA,,NVIDIA CORP,14780.09,,2024-12-31,,,49.997,47.595,48.909499999999994,722886.81,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
,,Cash,10295.44,,2024-12-31,,,,,0,0.0,Market Value Fallback,0.0,2024-01-01,2023-12-29
BRLN,,ISHARES FLOATING RT LOAN,10122.77,,2024-12-31,,,52.95,52.4,52.672574999999995,533192.36,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
ABNB,,AIRBNB INC,10.0,1314.1,2024-12-31,,1430.0,137.87,133.34,135.56,1355.6,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
BABA,,ALIBABA GROUP HLDG LTD F,10.0,847.9,2024-12-31,,980.6,77.635,74.51,76.25999999999999,772.6,Holiday/Weekend Prorated,10.0,2024-01-01,2023-12-29
AMZN,,AMAZON.COM INC,70.0,15357.3,2024-12-31,,9112.45,153.89,148.39,151.42249999999999,10599.57,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
BX,,BLACKSTONE INC,16.0855,2773.46,2024-12-31,,1284.61,133.24,126.77,130.01002499999998,2091.28,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
FLG,,FLAGSTAR FINL INC,33.0,307.89,2024-12-31,,381.65,,,,0.0,,0.0,2024-01-01,2023-12-29
META,,META PLATFORMS INC,45.1542,26438.24,2024-12-31,,13769.31,360,340.01,351.2475,15860.3,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
MDB,,MONGODB INC,8.0,1862.48,2024-12-31,,2020.86,421.97,382.26,404.34125,3234.73,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
NVDA,,NVIDIA CORP,110.061,14780.09,2024-12-31,,6570.92,49.997,47.595,48.909499999999994,5383.03,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
CRM,,SALESFORCE INC,5.0,1671.65,2024-12-31,,650.0,265.6491,253.77,260.658525,1303.29,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
SHAK,,SHAKE SHACK INC,20.0,2596.0,2024-12-31,,1375.6,75.585,71.75,73.72125,1474.42,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
SHOP,,SHOPIFY INC,13.0,1382.29,2024-12-31,,878.54,79.7296,72.9101,76.629925,996.19,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
SNOW,,SNOWFLAKE INC,15.0,2316.15,2024-12-31,,2123.68,201.88,187.53,195.995,2939.93,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
TCOM,,TRIP COM GROUP LTD,19.0,1304.54,2024-12-31,,660.91,36.12,35.07,35.62875,676.95,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
UBER,,UBER TECHNOLOGIES INC,30.0,1809.6,2024-12-31,,1980.0,63.14,57.93,60.82,1824.6,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
SPXL,,DIREXION DAILY S&P 500,5.1354,866.34,2024-12-31,,765.06,105.105,100.76,102.838925,528.12,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
