Ticker,Cusip,Description,Quantity,Statement Market Value,Statement Date,Date Acquired,Cost Basis,FMV High,FMV Low,FMV Avg,FMV Value,FMV Valuation Method,Dividends Accrued,FMV Valuation Date,Valuation Date Used
ABNB,,AIRBNB INC,10.0,1314.1,2024-12-31,,1430.0,134.23,130.41,132.275,1322.75,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
BABA,,ALIBABA GROUP HLDG LTD F,10.0,847.9,2024-12-31,,980.6,85.43,84.2,84.849975,848.5,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
AMZN,,AMAZON.COM INC,70.0,15357.3,2024-12-31,,9112.45,225.15,218.19,221.377475,15496.42,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
BX,,BLACKSTONE INC,16.0855,2773.46,2024-12-31,,1284.61,174.9575,171.02,172.75074999999998,2778.78,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
FLG,,FLAGSTAR FINL INC,33.0,307.89,2024-12-31,,381.65,9.57,9.1,9.2925,306.65,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
META,,META PLATFORMS INC,45.1542,26438.24,2024-12-31,,13769.31,604.91,583.85,592.6375,26760.07,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
MDB,,MONGODB INC,8.0,1862.48,2024-12-31,,2020.86,247,231.8,237.41000000000003,1899.28,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
NVDA,,NVIDIA CORP,110.061,14780.09,2024-12-31,,6570.92,138.88,133.83,136.3525,15007.09,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
CRM,,SALESFORCE INC,5.0,1671.65,2024-12-31,,650.0,338.92,327.81,334.0725,1672.36,Holiday/Weekend Prorated,2.0,2025-01-01,2024-12-31
SHAK,,SHAKE SHACK INC,20.0,2596.0,2024-12-31,,1375.6,133.35,127.31,130.4525,2609.05,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
SHOP,,SHOPIFY INC,13.0,1382.29,2024-12-31,,878.54,108.32,104.91,106.5,1384.5,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
SNOW,,SNOWFLAKE INC,15.0,2316.15,2024-12-31,,2123.68,160.34,153.38,156.26749999999998,2344.01,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
TCOM,,TRIP COM GROUP LTD,19.0,1304.54,2024-12-31,,660.91,69.97,64.68,67.51625,1282.81,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
UBER,,UBER TECHNOLOGIES INC,30.0,1809.6,2024-12-31,,1980.0,63.39,60.17,61.49250000000001,1844.78,Holiday/Weekend Prorated,0.0,2025-01-01,2024-12-31
